top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Metal,,,
,Mx4rvVkF6pwpEbGdrcN5Y29ycA,InanimateObject,
Metal,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViAxJwpEbGdrcN5Y29ycB4rvVim7ZwpEbGdrcN5Y29ycA,(CollectionDifferenceFn TemporalThing BiologicalLivingObject),
Metal,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
Metal,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Metal,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
Metal,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
,,,
,,,
SurfaceRegion-Underspecified,1,,
PartiallyTangible,1,,
InanimateObject,1,,
Agent-Underspecified,1,,
(CollectionDifferenceFn Thing Person),1,,
(CollectionDifferenceFn TemporalThing BiologicalLivingObject),1,,
